"kode","uraian"
"5.1.01.04.010","Belanja Pembebanan PPh kepada Pimpinan dan Anggota DPRD"
"5.1.01.04.010.00001","Belanja Pembebanan PPh kepada Pimpinan dan Anggota DPRD"
"5.1.01.04.012","Belanja Tunjangan Kesejahteraan Pimpinan dan Anggota DPRD"
"5.1.01.04.012.00001","Belanja Iuran Jaminan Kesehatan bagi DPRD"
"5.1.01.04.012.00002","Belanja Jaminan Kecelakaan Kerja DPRD"
"5.1.01.04.012.00003","Belanja Jaminan Kematian DPRD"
"5.1.01.04.012.00004","Belanja Tunjangan Perumahan DPRD"
"5.1.01.04.013","Belanja Tunjangan Transportasi DPRD"
"5.1.01.04.013.00001","Belanja Tunjangan Transportasi DPRD"
"5.1.01.04.014","Belanja Uang Jasa Pengabdian DPRD"
"5.1.01.04.014.00001","Belanja Uang Jasa Pengabdian DPRD"
"5.1.01.05","Belanja Gaji dan Tunjangan KDH/WKDH"
"5.1.01.05.001","Belanja Gaji Pokok KDH/WKDH"
"5.1.01.05.001.00001","Belanja Gaji Pokok KDH/WKDH"
"5.1.01.05.002","Belanja Tunjangan Keluarga KDH/WKDH"
"5.1.01.05.002.00001","Belanja Tunjangan Keluarga KDH/WKDH"
"5.1.01.05.003","Belanja Tunjangan Jabatan KDH/WKDH"
"5.1.01.05.003.00001","Belanja Tunjangan Jabatan KDH/WKDH"
"5.1.01.05.004","Belanja Tunjangan Beras KDH/WKDH"
"5.1.01.05.004.00001","Belanja Tunjangan Beras KDH/WKDH"
"5.1.01.05.005","Belanja Tunjangan PPh/Tunjangan Khusus KDH/WKDH"
"5.1.01.05.005.00001","Belanja Tunjangan PPh/Tunjangan Khusus KDH/WKDH"
"5.1.01.05.006","Belanja Pembulatan Gaji KDH/WKDH"
"5.1.01.05.006.00001","Belanja Pembulatan Gaji KDH/WKDH"
"5.1.01.05.007","Belanja Iuran Jaminan Kesehatan bagi KDH/WKDH"
"5.1.01.05.007.00001","Belanja Iuran Jaminan Kesehatan bagi KDH/WKDH"
"5.1.01.05.008","Belanja Iuran Jaminan Kecelakaan Kerja KDH/WKDH"
"5.1.01.05.008.00001","Belanja Iuran Jaminan Kecelakaan Kerja KDH/WKDH"
"5.1.01.05.009","Belanja Iuran Jaminan Kematian KDH/WKDH"
"5.1.01.05.009.00001","Belanja Iuran Jaminan Kematian KDH/WKDH"
"5.1.01.06","Belanja Penerimaan Lainnya Pimpinan DPRD serta KDH/WKDH"
"5.1.01.06.001","Belanja Dana Operasional Pimpinan DPRD"
"5.1.01.06.001.00001","Belanja Dana Operasional Pimpinan DPRD"
"5.1.01.06.002","Belanja Dana Operasional KDH/WKDH"
"5.1.01.06.002.00001","Belanja Dana Operasional KDH/WKDH"
"5.1.02","Belanja Barang dan Jasa"
"5.1.02.01","Belanja Barang"
"5.1.02.01.001","Belanja Barang Pakai Habis"
"5.1.02.01.001.00001","Belanja Bahan-Bahan Bangunan dan Konstruksi"
"5.1.02.01.001.00002","Belanja Bahan-Bahan Kimia"
"5.1.02.01.001.00004","Belanja Bahan-Bahan Bakar dan Pelumas"
"5.1.02.01.001.00008","Belanja Bahan-Bahan/Bibit Tanaman"
"5.1.02.01.001.00010","Belanja Bahan-Isi Tabung Gas"
"5.1.02.01.001.00011","Belanja Bahan-Bahan/Bibit Ternak/Bibit Ikan"
"5.1.02.01.001.00012","Belanja Bahan-Bahan Lainnya"
"5.1.02.01.001.00013","Belanja Suku Cadang-Suku Cadang Alat Angkutan"
"5.1.02.01.001.00020","Belanja Suku Cadang-Suku Cadang Alat Bengkel"
"5.1.02.01.001.00024","Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Tulis Kantor"
"5.1.02.01.001.00025","Belanja Alat/Bahan untuk Kegiatan Kantor-Kertas dan Cover"
"5.1.02.01.001.00026","Belanja Alat/Bahan untuk Kegiatan Kantor-Bahan Cetak"
"5.1.02.01.001.00027","Belanja Alat/Bahan untuk Kegiatan Kantor-Benda Pos"
"5.1.02.01.001.00029","Belanja Alat/Bahan untuk Kegiatan Kantor-Bahan Komputer"
"5.1.02.01.001.00030","Belanja Alat/Bahan untuk Kegiatan Kantor-Perabot Kantor"
"5.1.02.01.001.00031","Belanja Alat/Bahan untuk Kegiatan Kantor-Alat Listrik"
"5.1.02.01.001.00032","Belanja Alat/Bahan untuk Kegiatan Kantor-Perlengkapan Dinas"
"5.1.02.01.001.00034","Belanja Alat/Bahan untuk Kegiatan Kantor-Perlengkapan Pendukung Olahraga"
"5.1.02.01.001.00035","Belanja Alat/Bahan untuk Kegiatan Kantor-Suvenir/Cendera Mata"
"5.1.02.01.001.00036","Belanja Alat/Bahan untuk Kegiatan Kantor-Alat/Bahan untuk Kegiatan Kantor Lainnya"
"5.1.02.01.001.00038","Belanja Obat-Obatan-Obat-Obatan Lainnya"
"5.1.02.01.001.00039","Belanja Barang untuk Dijual/Diserahkan kepada Masyarakat"
"5.1.02.01.001.00040","Belanja Barang untuk Dijual/Diserahkan kepada Pihak Ketiga/Pihak Lain"
"5.1.02.01.001.00043","Belanja Natura dan Pakan-Natura"
"5.1.02.01.001.00044","Belanja Natura dan Pakan-Pakan"
"5.1.02.01.001.00052","Belanja Makanan dan Minuman Rapat"
"5.1.02.01.001.00053","Belanja Makanan dan Minuman Jamuan Tamu"
"5.1.02.01.001.00056","Belanja Makanan dan Minuman pada Fasilitas Pelayanan Urusan Kesehatan"
"5.1.02.01.001.00058","Belanja Makanan dan Minuman Aktivitas Lapangan"
"5.1.02.01.001.00059","Belanja Pakaian Dinas KDH dan WKDH"
"5.1.02.01.001.00060","Belanja Pakaian Dinas dan Atribut Pimpinan dan Anggota DPRD"
"5.1.02.01.001.00061","Belanja Pakaian Sipil Harian (PSH)"
"5.1.02.01.001.00063","Belanja Pakaian Dinas Harian (PDH)"
"5.1.02.01.001.00064","Belanja Pakaian Dinas Lapangan (PDL)"
"5.1.02.01.001.00066","Belanja Pakaian Dinas Upacara (PDU)"
"5.1.02.01.001.00067","Belanja Pakaian Penyelamatan"
"5.1.02.01.001.00068","Belanja Pakaian Siaga"
"5.1.02.01.001.00074","Belanja Pakaian Adat Daerah"
"5.1.02.01.001.00075","Belanja Pakaian Batik Tradisional"
"5.1.02.01.001.00076","Belanja Pakaian Olahraga"
"5.1.02.01.004","Belanja Aset Tetap yang Tidak Memenuhi Kriteria Kapitalisasi"
"5.1.02.01.004.00404","Belanja Peralatan dan
Mesin-Komputer-Komputer Unit-Komputer Jaringan"
"5.1.02.01.004.00505","Belanja Peralatan dan Mesin-Peralatan Olahraga-Peralatan Olahraga-Peralatan Permainan"
"5.1.02.01.004.00545","Belanja Gedung dan Bangunan-Bangunan Gedung-Bangunan Gedung Tempat Kerja-Taman"
"5.1.02.02","Belanja Jasa"
"5.1.02.02.001","Belanja Jasa Kantor"
"5.1.02.02.001.00001","Belanja Jasa Pengelolaan BMD yang Tidak Menghasilkan Pendapatan"
"5.1.02.02.001.00003","Honorarium Narasumber atau Pembahas, Moderator, Pembawa Acara, dan Panitia"
"5.1.02.02.001.00004","Honorarium Tim Pelaksana Kegiatan dan Sekretariat Tim Pelaksana Kegiatan"
"5.1.02.02.001.00005","Honorarium Pemberi Keterangan Ahli, Saksi Ahli, dan Beracara"
"5.1.02.02.001.00008","Honorarium Tim Penyusunan Jurnal, Buletin, Majalah, Pengelola Teknologi Informasi dan Pengelola Website"
"5.1.02.02.001.00011","Honorarium Penyelenggaraan Kegiatan Pendidikan dan Pelatihan"
"5.1.02.02.001.00012","Honorarium Tim Anggaran Pemerintah Daerah"
"5.1.02.02.001.00013","Belanja Jasa Tenaga Pendidikan"
"5.1.02.02.001.00014","Belanja Jasa Tenaga Kesehatan"
"5.1.02.02.001.00015","Belanja Jasa Tenaga Laboratorium"
"5.1.02.02.001.00016","Belanja Jasa Tenaga Penanganan Prasarana dan Sarana Umum"
